Nepal;NPL;143350,00
Nauru;NRU;20,00
New Zealand;NZL;263310,00
OECD members;OED;35511888.359
Oman;OMN;309500,00
Other small states;OSS;2032281,00
Pakistan;PAK;770880,00
Panama;PAN;74177,00
Peru;PER;1280000,00
Philippines;PHL;298170,00
Palau;PLW;460,00
Papua New Guinea;PNG;452860,00
Poland;POL;306170,00
Pre-demographic dividend;PRE;20270500.838
Puerto Rico;PRI;8870,00
Korea; Dem. People's Rep.;120410,00
Portugal;PRT;91605.6
Paraguay;PRY;397300,00
West Bank and Gaza;PSE;6020,00
Pacific island small states;PSS;64200,00
Post-demographic dividend;PST;31348558.259
French Polynesia;PYF;3520,00
Qatar;QAT;11490,00
Romania;ROU;230080,00
Russian Federation;RUS;16376870,00
Rwanda;RWA;24670,00
South Asia;SAS;4770754,00
Saudi Arabia;SAU;2149690,00
Sudan;SDN;1849233.715
Senegal;SEN;192530,00
Singapore;SGP;709,00
Solomon Islands;SLB;27990,00
Sierra Leone;SLE;72180,00
El Salvador;SLV;20720,00
San Marino;SMR;60,00
Somalia;SOM;627340,00
Serbia;SRB;87460,00
Sub-Saharan Africa (excluding high income);SSA;23852363.228
South Sudan;SSD;631928.123
Sub-Saharan Africa;SSF;23852823.228
Small states;SST;2501331,00
Sao Tome and Principe;STP;960,00
Suriname;SUR;156000,00
Slovak Republic;SVK;48080,00
Slovenia;SVN;20136.4
Sweden;SWE;407310,00
Eswatini;SWZ;17200,00
Sint Maarten (Dutch part);SXM;34,00
Seychelles;SYC;460,00
Syrian Arab Republic;SYR;183630,00
Turks and Caicos Islands;TCA;950,00
Chad;TCD;1259200,00
East Asia & Pacific (IDA & IBRD countries);TEA;15899196.9
Europe & Central Asia (IDA & IBRD countries);TEC;22989284.3
Togo;TGO;54390,00
Thailand;THA;510890,00
Tajikistan;TJK;138790,00
Turkmenistan;TKM;469930,00
Latin America & the Caribbean (IDA & IBRD countries);TLA;19913469,00
Timor-Leste;TLS;14870,00
Middle East & North Africa (IDA & IBRD countries);TMN;8635069,00
Tonga;TON;720,00
South Asia (IDA & IBRD);TSA;4770754,00
Sub-Saharan Africa (IDA & IBRD countries);TSS;23852823.228
Trinidad and Tobago;TTO;5130,00
Tunisia;TUN;155360,00
Turkiye;TUR;769630,00
Tuvalu;TUV;30,00
Tanzania;TZA;885800,00
Uganda;UGA;200520,00
Ukraine;UKR;579400,00
Upper middle income;UMC;53276360.2
Uruguay;URY;175020,00
United States;USA;9147420,00
Uzbekistan;UZB;440555,00
St. Vincent and the Grenadines;VCT;390,00
Venezuela; RB;882050,00
British Virgin Islands;VGB;150,00
Virgin Islands (U.S.);VIR;350,00
Vietnam;VNM;310070,00
Vanuatu;VUT;12190,00
World;WLD;129949282.714
Samoa;WSM;2830,00
Kosovo;XKX;
Yemen; Rep.;527970,00
South Africa;ZAF;1213090,00
Zambia;ZMB;743390,00
Zimbabwe;ZWE;386850,00
